timestamp_iso,frame_idx,mode,arm_state,distance_m,distance_src,target_ball_requested,carrying_ball_color,target_bucket_color,detection_count,detections,latest_msg
2026-03-04T10:55:39.138,67,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.171,68,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.204,69,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.238,70,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.51,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.271,71,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.304,72,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.54,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.338,73,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.371,74,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.52,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.405,75,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.438,76,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.471,77,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.505,78,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.538,79,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.571,80,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.605,81,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.638,82,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.671,83,fixed_ball,idle,0.000,geom,red ball,,,0,,"-0.30, 0.00, 0, 0, 10"
2026-03-04T10:55:39.705,84,fixed_ball,idle,0.000,geom,red ball,,,1,green ball:0.65,"-0.30, 0.00, 0, 0, 10"
